Country,Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in depth (mm/year),Total internal renewable water resources per capita (m3/inhab/yr),Water resources: total external renewable (10^9 m3/yr),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Environmental Flow Requirements (10^9 m3/year),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),SDG 6.4.1. Services Water Use Efficiency (US$/m3),Irrigated cropping intensity (%),Flood occurrence (WRI)
Japan,336.6027838,39087.23594,1668,3380.44489,0,3380.44489,247.4286764,623.4169298,212.5,36.45977011,56.71471758,0.72641295,106.7498896,224.9465714,113.7307692,3
Jordan,111.5687192,4264.118559,111,68.43735443,0.255,94.02610132,27.58767959,104.773375,0.0341,100.077528,35.42650093,1.741514621,297.7792317,57.66024607,109.9324,3
Kazakhstan,6.723037379,9744.693641,250,3512.627829,44.06,5917.699812,4364.004752,1366.294865,36.31,32.6518724,7.200993311,0.034506066,11.55602895,31.3795343,89.757022,1.7
Kenya,88.55138102,1725.302554,630,402.7819977,10,597.362673,482.2735546,78.45492826,18.57,33.23990107,11.26794611,0.238274007,34.75878546,68.94922947,103.1640912,3.8
Kiribati,143.0209877,1592.082641,,,0,0,,,,,,,,,,
Kuwait,232.1723906,33760.73917,121,0,0.02,4.834056508,,302.1285318,,3850.5,101.5651528,0.710412954,2858.041006,133.4175779,126.8376068,0.6
Kyrgyzstan,31.52818969,1319.570186,533,7761.701642,-25.312,3746.492323,3738.878146,1215.09574,8.216,50.03895598,0.841981672,0.102193429,5.503939801,17.29768968,100,2.1
Lao People's Democratic Republic,29.82055321,2579.121946,1834,26963.08309,143.1,47227.87926,1503.928269,1036.605926,180.1,4.771838331,1.849129582,0.124625387,20.80253603,70.18713227,100,3.9
Latvia,29.85507942,17837.89963,667,8784.215791,18,18118.09325,521.1414917,91.87959402,17.97,1.080431302,140.7950969,0.016669768,149.2214627,222.5595725,104.2016807,1.8
Lebanon,656.4026794,9257.297212,661,699.768843,-0.297,656.4706459,33.23902004,268.2447232,1.421,58.79299156,25.76719734,1.498742738,7.365933476,165.5549294,146.8888889,2.8
